"boat_id","registration_no"
1,"JC 703"
2,"UL 093"
3,"EM 042"
4,"Bank Fishing"
5,"FH 246"
6,"VX 085"
7,"BLP 165"
8,"SNOWS"
9,"KT 379"
10,"FP 829"
11,"KN 906"
12,"JW 943"
13,"HARTLEY'S BOAT"
14,"VE 193"
15,"HF 625"
16,"KN 381"
17,"Phil Mathieson"
18,"EU 669"
19,"-"
20,"NH 839"
21,"MN 20"
22,"MJ 25"
23,"DV 454"
24,"HH 301"
25,"LB 807"
26,"GS 301"
27,"FX 729"
28,"CD 870"
29,"FT 485"
30,"HP 964"
31,"PY 802"
32,"FY 048"
33,"JB 545"
34,"PT 895"
35,"HH 532"
36,"HJ 871"
37,"KB 454"
38,"LB 809"
39,"OA 081"
40,"-"
41,"BB 576"
42,"-"
43,"PX 590"
44,"-"
45,"FH 633"
46,"QTF451"
47,"LW 527"
48,"LW 527"
49,"GG 368"
50,"JZ 302"
51,"Bank Fishing"
52,"WM 063"
53,"JV 469"
54,"FC 352"
55,"FC 352"
56,"AFF 794N"
57,"PY 823"
58,"JK 867"
59,"LV 840"
60,"FE 482"
61,"LD 485"
62,"HH 825"
63,"KJ 676"
64,"KN 949"
65,"JN 019"
66,"AFJ 729N"
67,"JT 349"
68,"-"
69,"-"
70,"-"
71,"Hetherington Boat"
72,"-"
73,"FW 808"
74,"KT 663"
75,"JL 491"
76,"-"
77,"Snow's Boat"
78,"JC 416"
79,"HV 327"
80,"-"
81,"JN 089"
82,"-"
83,"-"
84,
85,"ZC 511"
86,"SM 004"
87,"DO 676"
88,"EK 808"
89,"-"
90,"ABC 123"
91,"GS 871"
92,"KN 389"
93,"JB 907"
94,"JL 538"
95,"GF 920"
96,"-"
97,"KJ 654"
98,"-"
99,"-"
100,"-"
101,"LF 367"
102,"EQ 553"
103,"-"
104,"-"
105,"JB 560"
106,"Barg"
107,"-"
108,"BRAY"
109,"KN 945"
110,"LU 404"
111,"EP 465"
112,"KV 444"
113,"AFF 794N"
114,"EB 021"
115,"HT 325"
116,"-"
117,"ATY BOAT"
119,"EM 820"
120,"-"
121,"Bank Fishing"
122,"-"
123,"-"
124,"Bank Fishing"
125,"-"
126,"ACT 234N"
127,"-"
128,"-"
129,"-"
131,"HN 846"
132,"-"
133,"-"
134,"NICK HEIN"
